IP,Port
88.198.50.103,3128
46.4.96.137,3128
139.59.207.66,3128
52.169.207.134,3128
139.59.202.232,8080
138.68.174.213,3128
92.222.180.156,3128
188.166.83.20,3128
46.101.225.83,3128
138.68.165.154,8080
207.154.231.211,3128
207.154.231.212,8080
188.226.141.211,3128
95.85.36.236,8080
178.239.177.210,80
85.26.146.169,80
138.68.169.77,3128
159.203.127.21,8080
138.68.230.88,8080
159.203.175.111,8080
158.69.223.147,3128
138.68.161.14,8080
67.205.149.230,8080
159.203.127.104,8080
159.203.161.211,8080
67.205.174.209,3128
138.197.157.44,3128
111.23.10.175,80
111.23.10.30,8080
111.23.10.21,80
111.23.10.12,8080
111.8.22.205,8080
111.8.22.206,8080
111.23.10.46,8080
138.197.204.55,3128
138.197.157.60,3128
188.226.141.61,8080
111.23.10.37,8080
117.143.109.174,80
111.23.10.26,8080
138.197.157.66,8080
111.23.10.34,8080
117.143.109.140,80
111.23.10.25,8080
117.143.109.141,80
111.8.22.215,8080
111.23.10.170,8080
111.23.10.36,80
111.23.10.51,8080
111.23.10.23,8080
111.8.22.202,80
111.23.10.56,80
117.143.109.157,80
178.62.245.236,3128
123.138.43.92,8080
112.91.135.184,8080
138.197.145.103,3128
139.209.60.34,8081
117.143.109.162,80
138.197.145.77,3128
194.67.208.117,3129
123.125.212.171,8080
111.23.10.22,8080
117.143.109.159,80
220.194.213.52,8080
183.207.95.25,8080
144.217.31.225,80
111.23.10.33,80
111.8.22.212,8080
109.169.6.152,8080
123.138.43.61,8080
183.230.176.241,8081
120.52.73.173,8080
163.121.188.3,8080
202.97.207.147,8080
121.17.123.103,8080
218.60.55.3,8080
122.13.15.109,8081
201.16.140.205,3128
183.95.80.165,8080
52.66.118.237,3128
60.211.209.79,8080
61.176.215.7,8080
111.23.10.99,8080
212.192.120.42,8080
163.121.188.2,8080
158.69.31.45,80
212.34.38.180,8080
138.68.198.203,8080
1.30.130.60,8080
61.176.215.34,8080
61.176.215.46,8080
122.13.15.65,8080
51.15.133.6,80
121.30.197.38,8080
115.231.128.79,8080
139.59.72.189,8080
117.21.234.107,8080
58.23.130.37,8080
61.130.97.212,8099
167.114.35.69,80
183.230.174.223,8081
46.16.226.222,53281
198.50.219.239,80
60.169.5.32,8080
109.111.189.234,8080
192.117.146.110,80
49.140.10.140,8998
120.83.13.53,8080
58.221.38.70,8080
115.231.128.81,8080
46.218.73.162,80
51.254.34.26,8080
137.74.168.192,80
62.210.51.150,80
54.219.138.73,8083
61.134.29.88,8080
202.51.188.170,53281
120.52.21.132,8082
176.215.252.152,8080